,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
324,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.3, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.7","X20, X21, X25, X28, X32, X39",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
325,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.3, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.8","X20, X21, X25, X28, X32, X40",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
326,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.1","X20, X22, X23, X26, X29, X33",1.7041491816427405e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
327,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.2","X20, X22, X23, X26, X29, X34",1.8590718471948432e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
328,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.3","X20, X22, X23, X26, X29, X35",2.0139944848608682e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
329,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.4","X20, X22, X23, X26, X29, X36",1.7041491816427405e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
330,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.5","X20, X22, X23, X26, X29, X37",1.5492265439767155e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
331,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.6","X20, X22, X23, X26, X29, X38",2.4787624536310985e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
332,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.7","X20, X22, X23, X26, X29, X39",2.1689171504129704e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
333,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.8","X20, X22, X23, X26, X29, X40",2.0139944848608682e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
334,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.1","X20, X22, X23, X26, X30, X33",1.8590718471948432e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
335,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.2","X20, X22, X23, X26, X30, X34",2.0280783925858182e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
336,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.3","X20, X22, X23, X26, X30, X35",2.1970849075556173e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
337,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.4","X20, X22, X23, X26, X30, X36",1.8590718471948432e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
338,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.5","X20, X22, X23, X26, X30, X37",1.6900653322250444e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
339,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.6","X20, X22, X23, X26, X30, X38",2.7041045133073655e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
340,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.7","X20, X22, X23, X26, X30, X39",2.3660914529465917e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
341,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.8","X20, X22, X23, X26, X30, X40",2.1970849075556173e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
342,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.1","X20, X22, X23, X26, X31, X33",1.5492265439767155e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
343,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.2","X20, X22, X23, X26, X31, X34",1.690065332225044e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
344,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.3","X20, X22, X23, X26, X31, X35",1.830904095122393e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
345,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.4","X20, X22, X23, X26, X31, X36",1.5492265439767155e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
346,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.5","X20, X22, X23, X26, X31, X37",1.408387781079367e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
347,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.6","X20, X22, X23, X26, X31, X38",2.253420434516399e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
348,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.7","X20, X22, X23, X26, X31, X39",1.9717428833707213e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
349,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.8","X20, X22, X23, X26, X31, X40",1.830904095122393e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
350,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.1","X20, X22, X23, X26, X32, X33",2.0139944848608682e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
351,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.2","X20, X22, X23, X26, X32, X34",2.197084907555617e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
352,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.3","X20, X22, X23, X26, X32, X35",2.3801752972940923e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
353,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.4","X20, X22, X23, X26, X32, X36",2.0139944848608682e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
354,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.5","X20, X22, X23, X26, X32, X37",1.8309040951223932e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
355,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.6","X20, X22, X23, X26, X32, X38",2.929446532422065e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
356,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.7","X20, X22, X23, X26, X32, X39",2.5632657199888406e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
357,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.8","X20, X22, X23, X26, X32, X40",2.3801752972940923e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
358,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.1","X20, X22, X23, X27, X29, X33",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
359,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.2","X20, X22, X23, X27, X29, X34",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
360,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.3","X20, X22, X23, X27, X29, X35",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
361,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.4","X20, X22, X23, X27, X29, X36",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
362,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.5","X20, X22, X23, X27, X29, X37",2.3073586989295133e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
363,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.6","X20, X22, X23, X27, X29, X38",3.6917738933677477e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
364,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.7","X20, X22, X23, X27, X29, X39",3.230302161888336e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
365,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.8","X20, X22, X23, X27, X29, X40",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
366,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.1","X20, X22, X23, X27, X30, X33",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
367,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.2","X20, X22, X23, X27, X30, X34",3.020542308313434e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
368,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.3","X20, X22, X23, X27, X30, X35",3.272254140909808e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
369,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.4","X20, X22, X23, X27, X30, X36",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
370,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.5","X20, X22, X23, X27, X30, X37",2.5171185978125506e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
371,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.6","X20, X22, X23, X27, X30, X38",4.0273897293152e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
372,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.7","X20, X22, X23, X27, X30, X39",3.5239660188143165e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
373,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.8","X20, X22, X23, X27, X30, X40",3.272254140909808e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
374,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.1","X20, X22, X23, X27, X31, X33",2.3073586989295133e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
375,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.2","X20, X22, X23, X27, X31, X34",2.5171185978125506e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
376,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.3","X20, X22, X23, X27, X31, X35",2.726878458938809e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
377,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.4","X20, X22, X23, X27, X31, X36",2.3073586989295133e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
378,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.5","X20, X22, X23, X27, X31, X37",2.0975988378032552e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
379,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.6","X20, X22, X23, X27, X31, X38",3.3561581178311413e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
380,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.7","X20, X22, X23, X27, X31, X39",2.9366383578218457e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
381,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.8","X20, X22, X23, X27, X31, X40",2.726878458938809e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
382,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.1","X20, X22, X23, X27, X32, X33",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
383,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.2","X20, X22, X23, X27, X32, X34",3.2722541409098085e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
384,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.3","X20, X22, X23, X27, X32, X35",3.5449419573534024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
385,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.4","X20, X22, X23, X27, X32, X36",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
386,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.5","X20, X22, X23, X27, X32, X37",2.7268784589388086e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
387,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.6","X20, X22, X23, X27, X32, X38",4.3630055048518073e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
388,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.7","X20, X22, X23, X27, X32, X39",3.8176298228808074e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
389,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.8","X20, X22, X23, X27, X32, X40",3.5449419573534024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
390,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.1","X20, X22, X23, X28, X29, X33",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
391,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.2","X20, X22, X23, X28, X29, X34",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
392,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.3","X20, X22, X23, X28, X29, X35",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
393,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.4","X20, X22, X23, X28, X29, X36",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
394,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.5","X20, X22, X23, X28, X29, X37",2.3073586989295133e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
395,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.6","X20, X22, X23, X28, X29, X38",3.6917738933677477e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
396,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.7","X20, X22, X23, X28, X29, X39",3.230302161888336e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
397,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.8","X20, X22, X23, X28, X29, X40",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
398,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.1","X20, X22, X23, X28, X30, X33",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
399,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.2","X20, X22, X23, X28, X30, X34",3.020542308313434e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
400,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.3","X20, X22, X23, X28, X30, X35",3.272254140909808e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
401,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.4","X20, X22, X23, X28, X30, X36",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
402,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.5","X20, X22, X23, X28, X30, X37",2.5171185978125506e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
403,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.6","X20, X22, X23, X28, X30, X38",4.0273897293152e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
404,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.7","X20, X22, X23, X28, X30, X39",3.5239660188143165e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
405,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.8","X20, X22, X23, X28, X30, X40",3.272254140909808e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
406,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.1","X20, X22, X23, X28, X31, X33",2.3073586989295133e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
407,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.2","X20, X22, X23, X28, X31, X34",2.5171185978125506e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
408,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.3","X20, X22, X23, X28, X31, X35",2.726878458938809e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
409,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.4","X20, X22, X23, X28, X31, X36",2.3073586989295133e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
410,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.5","X20, X22, X23, X28, X31, X37",2.0975988378032552e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
411,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.6","X20, X22, X23, X28, X31, X38",3.3561581178311413e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
412,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.7","X20, X22, X23, X28, X31, X39",2.9366383578218457e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
413,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.8","X20, X22, X23, X28, X31, X40",2.726878458938809e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
414,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.1","X20, X22, X23, X28, X32, X33",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
415,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.2","X20, X22, X23, X28, X32, X34",3.2722541409098085e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
416,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.3","X20, X22, X23, X28, X32, X35",3.5449419573534024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
417,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.4","X20, X22, X23, X28, X32, X36",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
418,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.5","X20, X22, X23, X28, X32, X37",2.7268784589388086e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
419,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.6","X20, X22, X23, X28, X32, X38",4.3630055048518073e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
420,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.7","X20, X22, X23, X28, X32, X39",3.8176298228808074e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
421,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.4, 1.3.2.6.1.8","X20, X22, X23, X28, X32, X40",3.5449419573534024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
422,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.2, 1.3.2.3.2, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.1","X20, X22, X24, X26, X29, X33",1.4419723862820044e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
