,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
48,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.3","X20, X21, X23, X26, X30, X35",1.7262809907227752e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
49,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.4","X20, X21, X23, X26, X30, X36",1.4606993016809906e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
50,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.5","X20, X21, X23, X26, X30, X37",1.3279084691112744e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
51,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.6","X20, X21, X23, X26, X30, X38",2.124653536236628e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
52,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.7","X20, X21, X23, X26, X30, X39",1.8590718471948432e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
53,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.2, 1.3.2.6.1.8","X20, X21, X23, X26, X30, X40",1.7262809907227752e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
54,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.1","X20, X21, X23, X26, X31, X33",1.2172494217192404e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
55,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.2","X20, X21, X23, X26, X31, X34",1.3279084691112744e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
56,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.3","X20, X21, X23, X26, X31, X35",1.4385674965846817e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
57,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.4","X20, X21, X23, X26, X31, X36",1.2172494217192404e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
58,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.5","X20, X21, X23, X26, X31, X37",1.1065903942458332e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
59,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.6","X20, X21, X23, X26, X31, X38",1.770544618842157e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
60,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.7","X20, X21, X23, X26, X31, X39",1.5492265439767155e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
61,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.3, 1.3.2.6.1.8","X20, X21, X23, X26, X31, X40",1.4385674965846817e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
62,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.1","X20, X21, X23, X26, X32, X33",1.582424230706621e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
63,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.2","X20, X21, X23, X26, X32, X34",1.7262809907227752e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
64,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.3","X20, X21, X23, X26, X32, X35",1.8701377248447146e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
65,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.4","X20, X21, X23, X26, X32, X36",1.582424230706621e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
66,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.5","X20, X21, X23, X26, X32, X37",1.4385674965846817e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
67,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.6","X20, X21, X23, X26, X32, X38",2.301707978998962e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
68,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.7","X20, X21, X23, X26, X32, X39",2.0139944848608685e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
69,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.4, 1.3.2.6.1.8","X20, X21, X23, X26, X32, X40",1.8701377248447146e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
70,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.1","X20, X21, X23, X27, X29, X33",1.9942171323144518e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
